city,AQI,PM2.5/1h,PM10/1h,CO/1h,NO2/1h,O3/1h,O3/8h,SO2/1h
温州,28,8,27,0.65,25,18,18,5
乌海,36,7,23,0.5,5,71,71,8
武汉,16,10,15,0.55,22,29,22,4
芜湖,42,29,0,0.98,42,20,20,6
吴江,30,21,25,0.93,39,46,53,5
五家渠,257,206,319,1.7,53,29,29,56
乌兰察布,32,7,16,0.2,6,66,62,17
乌鲁木齐,185,139,168,1.59,50,28,21,8
武威,43,20,42,0.3,6,82,82,3
无锡,38,16,37,0.66,34,30,30,7
吴忠,34,7,31,0.4,6,66,66,4
梧州,60,32,67,1.13,19,46,46,8
厦门,54,30,55,0.7,39,57,57,9
西安,80,28,108,0.74,33,44,24,13
湘潭,14,6,9,0.53,26,14,14,8
湘西州,32,18,31,0.37,17,27,27,4
襄阳,82,53,111,0.93,34,17,17,10
咸宁,16,10,15,0.78,27,15,15,6
咸阳,79,29,105,0.92,30,48,33,11
孝感,25,14,22,0.75,5,48,48,9
锡林郭勒盟,109,10,166,0.25,4,58,58,13
兴安盟,32,13,25,0.27,5,60,62,2
邢台,98,73,134,0.83,35,40,27,10
西宁,70,37,88,1.3,26,60,53,15
新乡,92,68,125,0.93,43,35,20,6
信阳,71,43,90,0.78,33,31,31,6
新余,15,7,14,0.66,27,16,16,6
忻州,40,6,39,0.37,13,55,55,9
西双版纳州,49,15,31,0.4,10,97,97,5
宣城,36,8,11,0.23,25,70,70,8
许昌,111,83,104,1.05,32,23,20,8
徐州,100,75,128,0.68,33,29,33,12
雅安,84,45,116,0.48,12,60,60,7
延安,52,11,51,0.93,16,69,64,11
延边州,40,17,39,0.53,19,42,42,9
盐城,63,35,74,0.72,19,59,63,8
阳江,49,34,47,0.73,11,73,73,5
阳泉,71,11,90,0.24,11,67,67,5
扬州,56,30,60,0.63,22,56,54,5
烟台,53,18,54,0.28,11,52,39,3
宜宾,59,30,65,0.62,30,16,16,10
宜昌,61,34,70,0.9,39,12,12,10
宜春,18,9,17,0.88,23,10,10,8
伊春,26,9,17,0.2,3,51,51,5
伊犁哈萨克,0,0,0,0.0,0,0,0,0
伊犁哈萨克州,124,93,107,1.93,39,50,50,43
银川,56,20,59,0.57,16,63,57,24
营口,43,14,42,0.18,12,64,64,6
鹰潭,11,3,5,0.2,19,20,20,4
义乌,19,0,0,0.0,37,0,26,0
宜兴,25,13,24,0.65,32,34,40,12
益阳,29,20,24,1.08,18,26,26,3
永州,26,18,21,0.62,26,15,15,4
岳阳,32,13,31,0.67,16,24,24,5
玉林,60,34,68,0.73,14,98,98,15
榆林,46,4,45,0.67,9,67,67,7
运城,58,13,63,0.4,10,65,65,3
云浮,41,20,35,0.53,11,80,80,4
玉树州,0,0,0,0.0,0,0,0,0
玉溪,23,8,21,0.5,9,73,44,6
枣庄,93,69,134,0.62,28,31,31,5
张家港,50,22,49,0.45,27,48,49,2
张家界,68,31,84,0.5,13,38,38,6
张家口,32,12,25,0.4,6,69,63,6
章丘,62,16,72,0.2,15,53,29,10
张掖,49,34,41,0.1,3,76,76,11
漳州,65,43,78,0.93,40,74,56,8
湛江,42,21,30,0.5,8,82,82,4
肇庆,59,33,58,0.53,27,109,109,9
昭通,44,22,43,0.8,15,49,49,10
招远,38,20,37,0.3,17,59,37,10
郑州,104,77,105,1.08,40,21,21,7
镇江,60,42,50,0.7,34,31,31,3
中山,50,28,49,0.8,37,65,65,5
中卫,35,8,25,0.37,4,69,69,7
周口,96,71,88,0.9,20,37,37,8
舟山,31,3,16,0.4,10,61,61,3
珠海,46,28,45,0.65,49,49,49,6
诸暨,18,9,0,0.4,34,33,33,2
驻马店,97,72,128,0.83,37,25,25,8
株洲,16,5,6,0.53,30,9,9,5
淄博,57,18,62,0.28,15,59,59,9
自贡,63,29,74,0.55,21,34,23,7
资阳,76,33,100,0.52,14,48,48,4
遵义,22,9,21,0.75,21,20,19,9
